f_x_sim,f_y_sim,f_z_sim,f_sp_sim,m_sp_sim,materialremoved_sim,a_x,a_y,a_z,a_sp,v_x,v_y,v_z,v_sp,pos_x,pos_y,pos_z,pos_sp
9.669412,-22.867311,9.03806,43.099827,0.2475278,0.39083496,-2.578448,-3.1008456,-26.625082,-1039540.1,-0.30253902,-1.0315282,0.34200874,14227.479,3.5830145,310.3089,379.71252,2251789.0
3.3700848,39.11187,-11.716725,-34.666504,-0.128777,-0.5824425,-6.221122,0.15314437,-1.0652157,1122859.2,-0.85283417,-5.7479424,-0.33521736,-88048.7,35.801735,297.02676,380.81348,991971.5
11.819789,17.809553,-3.0963714,-8.338403,-0.013259417,-0.151566,-0.46731436,1.4909453,-17.066298,1732407.2,-1.021374,5.215749,-0.20181182,-74840.87,-31.53744,292.06168,378.50677,419479.88
-4.570698,-36.01015,25.674547,59.636112,0.32432702,1.2991669,-0.83660024,-2.6223366,-20.679377,418017.78,2.004066,0.09071931,1.1306901,28619.062,9.659824,302.8816,381.4035,985405.5
-34.440125,-78.604576,37.596256,124.456345,0.66834044,2.0000691,-0.1255654,-1.0176104,-2.5492666,-576135.94,3.9815423,2.4420528,-0.27244747,46350.69,-14.377436,330.85678,379.49948,844750.5
72.63389,-28.025593,52.58466,145.15735,0.69747734,3.2118468,-0.584675,-1.2037282,-21.640705,518151.47,2.6038404,-1.9772725,0.09709379,5789.1284,13.69592,317.71326,378.66605,598838.3
-10.069658,43.333447,8.61498,14.518142,0.15011016,0.5112531,-1.5868924,-2.3821633,-5.9309664,1444900.2,-0.76144236,2.934602,-0.101310834,21453.184,-9.136189,260.88605,382.95386,-151444.31
-44.561424,-73.64875,67.11196,157.53369,0.82657355,3.8058398,-0.21559334,-4.7276983,-11.819294,127529.06,2.094558,1.2960206,-0.6211698,-6213.289,-8.215469,304.6916,380.0089,649743.8
33.378136,-87.942085,44.10179,122.45181,0.64131546,2.6149476,2.2791657,-1.9069226,-15.930807,2747565.0,3.3012297,0.5160804,0.7838868,35343.656,-1.6832052,319.5358,380.41113,524438.1
-112.707245,-84.84369,56.386543,144.78395,0.8100419,3.8306346,-1.9631906,-0.897878,-5.452889,1484809.5,2.350463,1.8470604,0.28866166,13919.545,-16.124138,318.55396,380.91937,647403.0
-102.0325,146.69415,69.57301,189.65022,0.9723652,3.3858058,-1.0206956,-3.8986363,-8.501316,1207616.9,-3.334767,0.8038344,0.11852789,76539.33,-11.417624,288.30536,380.2544,450876.38
48.146854,143.74203,62.00042,139.49503,0.81371504,3.7516375,-4.4606504,0.30543745,-17.28417,1887330.5,-3.0187464,-1.4047207,0.71773297,32593.363,15.670515,272.04095,381.63565,638934.2
99.02977,12.3421545,45.211258,123.91664,0.5946781,2.824519,-1.7086072,-1.3947167,-5.806566,-1112422.6,0.6559107,-5.7913637,-0.56627834,-70533.82,34.235462,297.19168,380.7192,1808081.5
-205.9557,-20.281204,68.4839,215.31175,1.0529987,3.7514389,2.5576835,0.22867857,0.4913229,1504348.8,0.14255026,3.0114214,-0.044136565,-62004.92,-14.626004,303.81302,380.15567,794031.4
-4.5649214,10.1854925,-6.894814,-21.661644,-0.0945091,-0.05523584,0.3550084,3.8048162,-8.651235,3211638.0,-1.1574163,-1.0197619,-1.1098711,6939.8613,-3.220413,290.4431,380.01907,1519309.6
35.985256,8.979617,32.138603,82.39042,0.46979383,1.6149963,-1.1180987,3.0032525,-20.683933,-2309729.5,0.79401976,1.5999157,-0.34883386,19225.322,-7.93701,283.94046,380.56262,106800.56
-29.950829,20.513514,15.818707,45.72181,0.2817728,0.9250146,2.0798278,4.0138683,-9.346498,2455176.5,0.9688117,4.7689342,-0.1730664,-33719.73,-24.454325,287.99744,380.84625,84485.81
11.735295,-29.954597,74.438156,175.86276,0.860219,4.7873163,-4.446193,0.709758,-15.394411,-1790.437,-0.40132686,-1.852103,-1.3303368,103233.99,9.372016,295.166,381.3207,1260660.6
-8.992611,13.5659685,-6.055466,-32.02133,-0.11348418,-0.6107042,-1.1784935,-1.2174784,-8.833766,-345773.06,-5.630462,-1.1207402,-0.22848152,-48756.82,4.8459673,296.2042,377.77744,1782991.0
-23.41664,9.546969,4.150747,19.4842,0.11720561,0.31143585,-0.536549,0.45344448,-4.4488907,4220159.0,-3.84778,0.89300036,0.38233468,-22308.756,-1.326176,292.07996,378.96933,2069358.8
171.66342,-79.96173,59.042072,180.52359,0.8672763,4.5943403,-1.4568113,-1.5632565,-7.05579,-1766878.0,3.4693818,-5.276574,0.96378255,27724.979,26.320656,316.15503,379.1886,1078445.8
-155.62904,60.532616,54.795315,152.60826,0.8046435,2.7752886,0.96379304,-2.029436,-9.354657,2308747.8,-0.13863967,4.4432373,-0.21605502,30577.31,-27.256737,289.06796,380.3422,-77002.06
-58.7183,121.60894,52.516735,133.0514,0.7443871,2.4063413,-4.8256145,-1.1292387,-19.330816,-195597.98,-2.364818,1.5668525,0.87384903,-43325.688,-3.6950939,275.5126,381.57,276920.5
83.521706,-27.108187,38.118645,102.14181,0.58446705,2.1371276,-3.3131566,-3.4660404,-13.226956,799149.2,1.4895943,-0.93934655,-1.1431198,49643.617,7.413766,319.1943,380.80807,974853.06
-89.86314,-11.147188,21.39382,64.76449,0.43817347,0.7112684,-5.0146523,-0.079235226,-14.069162,310428.34,-1.4938649,1.9942744,1.3946294,21264.14,-3.6060612,288.50037,379.0223,2331493.5
-23.961203,-54.2261,42.109703,143.82164,0.71817267,2.2326543,2.7628682,-1.3321185,-6.2380004,1825740.8,2.011623,1.1918967,0.34332904,25519.877,-17.479204,322.83228,380.04788,973807.7
17.382217,10.918754,3.850652,3.943008,0.051650397,0.32987574,-1.2479692,-1.7199342,-5.8663116,4290048.5,0.22705048,1.390401,0.3848395,-8939.54,4.573462,299.61493,380.75174,760033.0
33.745094,-182.85248,76.764854,180.80255,0.9899531,4.687547,0.67544985,-2.1083884,5.115287,2178921.2,5.607686,-1.2813189,0.6058935,32732.262,2.4225833,334.93036,380.13956,498211.44
-37.78099,275.37805,77.60059,208.10197,1.0178357,4.0255923,-0.89509255,-3.2800283,-24.221056,-3504846.5,-6.922107,1.2941502,-1.2747566,-5843.288,-12.52214,261.75815,379.54172,-437777.7
125.10169,-71.60895,59.642715,146.13857,0.7944874,3.9365518,-4.360383,-4.2775283,1.74524,-1154431.6,3.0649533,-4.605793,0.7212701,125153.5,17.680075,326.62134,379.67032,904397.8
-149.48222,-84.284874,80.76049,185.82492,0.9701565,5.009639,-2.4177067,0.4789715,-15.979733,264028.4,0.9777328,1.9749562,1.0097328,6703.4155,-5.900064,306.2273,379.93146,863691.6
71.10772,-7.375438,40.11625,104.79349,0.6409106,2.4735756,-2.030675,-0.984667,-11.05908,2870166.0,2.2886348,-3.3673074,-0.36448437,-11735.685,24.072348,302.45407,381.09018,841561.94
6.749264,37.324757,7.7774806,22.02967,0.23907733,0.6975399,-0.019779956,1.095931,-16.660507,2372886.0,0.23715045,3.7216074,1.3592014,-34702.758,-11.397416,286.3814,382.0528,245028.06
-10.144832,47.710358,19.169434,54.501263,0.3119358,0.71069586,-0.33733281,0.24749094,-9.638014,-73325.625,-0.5994105,2.7766554,-0.087602235,-87130.3,-10.220367,281.53732,381.27344,-149427.81
0.99716276,19.526423,-15.18818,-53.081734,-0.1987373,-1.253161,-4.585985,-2.1493251,-14.722084,2497113.0,-3.4409578,4.415097,-0.7642567,36136.64,-25.775105,279.8987,378.95758,269875.44
-0.5230151,-5.169107,31.828796,90.661095,0.5442377,1.6543912,0.33651698,-3.067685,-5.3948293,1257141.6,-1.1688895,-1.3270692,1.2649224,45147.273,5.635225,310.54874,381.08688,1314063.0
-9.717864,-6.149303,10.899245,30.321976,0.1323798,0.16973153,-2.8197773,-3.1577795,-4.577156,-436822.6,-0.34588653,-0.47935906,-1.5839899,60288.94,2.726754,285.05405,383.09137,602672.8
-163.92464,43.07088,95.4612,255.71245,1.3179852,6.160417,-1.8317525,-3.872815,-0.00015523216,1862172.2,-1.0345263,2.8100388,0.063388824,105966.9,-20.990612,292.00317,378.52603,289041.62
34.06903,53.570564,29.183691,82.89816,0.4210024,1.4138538,-3.1299605,-0.45787,-23.644075,3489826.2,-2.7120655,-1.7448514,-1.2452576,9248.861,18.607046,291.4626,381.64984,707713.5
-58.163265,-37.11999,30.322535,67.940575,0.35893154,1.1983224,-0.7202494,0.11036426,-10.106973,2184705.5,-0.08970565,2.4613845,-0.56626993,-45899.938,-3.8993266,298.7173,382.4724,1065830.6
-28.102158,15.030641,-11.432027,-26.886086,-0.06514875,-0.6565695,-4.4603024,1.621952,-13.226657,4491344.5,-1.1715915,-0.49122122,2.2496412,-58449.543,19.23941,287.83606,380.6373,1318509.4
9.1119585,-117.32776,61.50669,151.23729,0.78299177,3.994247,-2.3145895,-3.5234187,-22.516205,780926.1,2.9311187,0.11495793,0.21386272,6471.847,0.46589705,320.20718,381.13306,415912.44
67.559975,34.24754,33.12041,88.979,0.52111185,2.365774,-3.4818916,1.6544214,-33.738976,2868682.8,0.24125408,-5.995785,-0.3257075,31070.957,32.876095,291.2551,380.17383,1226757.0
6.151662,2.4125419,-10.737657,-46.19854,-0.1039227,-0.5748098,2.7011821,-2.3030605,-8.299722,3286674.5,1.6075526,1.152125,-0.15200505,-30359.852,6.2716885,265.96515,383.17014,396111.56
118.36812,-28.096102,36.527706,109.95115,0.59488994,2.3206425,0.74837834,-3.051579,-7.7710266,-1299394.8,3.8506546,-3.0220141,1.222833,99450.24,12.959574,332.84143,379.4462,1353962.1
-145.05434,-21.14601,50.102116,132.44083,0.7158755,2.3894286,-0.41495648,-0.7564333,-15.941201,-452806.38,0.17633039,4.5255985,1.4285684,-4299.339,-39.360653,313.4352,377.20258,674317.6
3.274105,-35.646,69.37103,181.86163,0.90494764,4.617818,-1.3666035,1.092485,7.967013,-1591244.4,1.3206329,-0.20176443,-0.71923083,12016.185,8.501376,310.77026,380.08038,952494.56
1.6101074,16.394419,-6.3809323,-19.572067,-0.04946772,-0.47322485,-2.8340206,-0.6039042,-14.319659,927816.56,-1.9622229,3.185902,-0.90561295,-34356.58,-13.318812,310.43384,379.9748,1127430.8
4.9990005,38.212143,6.576862,25.218864,0.16789544,0.43695775,0.23158294,1.5625567,-19.567139,-593907.3,-2.3199594,-2.2982564,-1.9083102,-64939.54,11.356662,303.18942,380.87286,993307.94
-143.65582,-39.913685,65.54046,172.16907,0.91888076,3.7525496,-2.384597,-1.2032456,-18.2105,2389130.8,1.0407853,3.2674375,-0.21143162,24467.102,-11.121123,309.6978,379.90372,932943.6
-26.620491,30.838339,10.810321,23.495728,0.19004872,0.84859705,-2.5072002,0.42290258,6.1712294,3259144.5,-3.1935613,0.14298064,0.00503212,71091.88,-3.1584272,280.70273,381.68396,1093388.9
1.530611,-183.07115,73.5048,204.2138,1.0251039,4.2928414,0.07024562,-2.581045,-3.4170394,1187956.4,5.8525405,0.71350765,-0.17478845,25560.1,2.8286593,339.4858,380.1506,649190.4
22.92208,51.00228,27.664492,69.5974,0.36066967,1.2855022,-0.97627634,2.4426618,-19.454777,1478474.1,-2.9231517,1.5772947,-2.335976,37930.887,-9.023071,288.22977,380.97272,496472.12
116.48868,-42.307415,38.797543,100.658806,0.5912107,2.6205902,-7.24522,-2.0714958,-27.531054,1818529.6,3.147457,-4.015648,1.0914513,46885.35,30.822834,318.43707,382.33597,364200.94
103.315155,-75.80046,38.541954,117.42708,0.6164212,2.3815439,0.919261,-2.4404862,-5.049637,1627133.5,3.9919946,-1.235571,0.13214484,-10100.579,1.2604388,343.71793,380.73557,392282.56
12.559358,9.4440775,-16.621738,-43.32647,-0.16444549,-0.61807704,-0.5245379,-1.8437843,-26.37971,4478784.5,0.76928735,1.9552051,-2.2469923,-62883.92,-4.9484997,278.02374,381.40024,-49390.316
-68.75251,-75.181145,75.02451,182.06424,1.000119,4.6344914,-1.4334776,-0.43667644,-8.743443,2943722.8,1.7343813,1.5325506,1.9299445,17393.107,-6.9220014,306.0483,378.72314,1055319.1
-10.705096,24.951189,10.585149,16.580925,0.15911317,0.45865348,-0.95142996,3.6644015,-6.8392897,1121792.8,-4.7171507,-1.2169387,-0.27815783,-54818.812,3.3781877,302.7821,379.77954,1611721.2
18.648876,6.4569583,-3.0426528,-14.629708,0.015237086,-0.24793765,-4.433581,-3.3834083,-20.795616,-337779.9,0.6116799,1.0540122,2.5183096,-27713.55,4.5255013,306.99265,382.10617,762178.94
31.338926,16.382666,7.010793,11.864478,0.111934654,0.23445514,-0.32960355,-3.4234772,0.21302214,-132342.9,1.0704273,-2.5078173,0.43809077,-17764.41,19.338093,318.0082,379.0736,2236434.5
70.276535,-24.420708,66.61921,157.74709,0.88632727,4.409638,-6.482984,0.76985943,-24.60148,2752448.5,-0.41012773,-2.8790793,-1.2914312,60895.992,20.678076,299.00937,381.888,1063473.8
-88.59483,34.34,49.90818,134.0254,0.68517154,2.2193832,-0.415522,-0.7392249,-16.57417,-2167300.5,-0.67109764,2.6679957,-0.78373855,5791.4854,-14.701579,285.58908,379.21808,181560.56
-70.26095,156.75961,49.122917,144.35628,0.76430637,2.0446384,-1.6826053,-0.8681949,-28.606018,-655406.9,-2.9362354,1.3221153,-1.0002339,41677.043,-4.197895,270.37378,380.62152,194499.06
-29.019691,94.025116,64.89432,165.02583,0.8993191,3.5412948,-0.88991463,-0.25324756,-7.2840147,4911036.5,-3.6128085,0.8927197,0.75463074,9704.025,-1.2319055,283.993,377.17392,1414538.0
135.00076,-253.36157,93.17125,216.74202,1.1619117,6.6989717,-0.94216686,-7.6977563,6.5474377,1521045.6,6.787472,-3.5941262,0.7299409,28235.238,17.142834,354.7789,378.1345,384757.56
36.96386,82.97605,38.640892,106.89543,0.5802913,2.2719054,-2.0851483,1.7415285,-4.409883,208361.77,-1.5867141,-0.78850806,-0.19989228,24063.367,4.308492,287.44934,379.80707,1109696.1
-4.136345,7.190807,-0.055790562,1.5911783,0.03871294,-0.0025797854,-1.4710207,1.7166672,-29.696362,1790221.1,-2.4479115,1.2633514,1.1281961,-79434.13,-11.778657,294.70612,380.62704,1056734.8
-6.11573,8.92619,-6.0794034,-14.176606,-0.07673321,-0.17602131,-3.5078332,-2.234271,-15.501499,-2055018.4,1.1414125,-1.5217774,-1.0711112,36765.08,13.920278,297.08963,380.4616,1197454.4
-39.29201,-75.5142,44.176254,116.45274,0.60978085,1.9539502,-1.4886264,-6.5626044,-10.012055,3285926.2,2.0549417,1.8363919,-0.70524377,-59771.36,7.532774,316.80124,382.50363,915145.25
-75.7219,-77.668465,57.07064,142.76944,0.8025407,3.047389,-0.62969625,-0.83176035,-14.739865,-1002929.44,0.05000637,1.0166796,-0.42610854,14693.116,-9.398321,315.21194,378.7567,1526855.8
-13.265619,4.9586043,16.761496,47.825157,0.27221748,0.8193617,-2.1419353,0.48840982,-23.929556,3397874.8,-2.673733,-1.0029175,-0.37417027,-40140.15,12.694724,307.85184,378.80322,2104901.0
-23.737497,13.360702,22.333836,74.277374,0.406471,1.0084759,0.6647374,2.2851014,-7.3229747,2077760.2,-0.43238488,3.9372087,-0.6325199,-60085.867,-27.292728,302.70126,377.97366,1138085.9
-61.687256,99.3886,43.23962,137.49628,0.7013734,2.0719514,-1.789273,0.25449708,-4.251676,1903540.4,-6.7912292,-0.5882522,-1.3535626,7100.825,-2.038833,282.21713,377.76505,1509640.2
-73.44401,212.42828,72.6472,194.57848,1.0433187,3.7529671,1.5996735,1.9357396,-8.903607,2419459.0,-5.3697577,1.3644357,-0.33109108,17415.475,-6.05208,282.66635,380.00998,269387.0
8.878638,0.9605802,-2.2482727,-4.9493413,-0.017510032,-0.10160778,0.28670165,-4.371456,-18.069757,2256839.8,-1.6132653,3.1090827,0.4187586,-88956.99,-2.8371682,286.011,382.19946,791212.7
-48.63489,56.711967,28.78871,61.26184,0.37685782,1.3832635,-2.4451776,-3.492262,-17.272446,2677719.5,-2.9901981,2.273774,-1.4471937,-35527.68,-6.199652,279.97366,381.72003,651458.06
-4.9053235,35.34609,-2.1950767,-6.4005284,0.012596362,-0.12316225,-3.2778094,0.08257042,-32.634975,713386.6,-1.7705381,-2.8527768,-0.6088273,-12253.399,29.043798,293.86438,381.59344,853858.6
-41.45101,-10.147459,29.240952,66.11914,0.32812038,1.2602098,1.0469958,-2.0326967,1.9668887,-1299746.4,-0.8843327,2.7553723,0.074932486,-93564.69,-6.340245,288.45517,380.7977,1106800.2
51.564857,151.21902,50.81011,134.88052,0.72588325,2.7698548,-5.5017443,-2.9004583,-9.87145,643081.44,-2.7161183,-5.149917,-0.48903415,88435.836,19.734615,286.92398,378.88275,1276391.2
-0.36757284,9.733777,-1.9550749,-8.232919,0.035182737,-0.3834097,-2.9333584,-2.1248484,-8.385992,827959.75,-1.2876142,1.8816198,-1.6456287,-39334.11,-4.857929,322.0139,379.50278,1331542.1
-19.324657,61.81662,54.757805,148.69002,0.79162484,3.0124762,-1.2769593,-0.86196905,-11.174805,-73470.62,-1.4113892,0.27972573,-1.2025506,108368.164,1.2131089,284.94882,379.79117,1229349.6
45.71237,5.4858584,0.6866602,2.2348933,0.039556645,0.102570675,-0.39646086,-4.2420206,-19.790188,2980344.8,-1.0597333,0.8601021,0.10603914,16845.006,-13.645469,326.9748,380.32715,1278270.5
-53.932476,41.66515,27.1694,88.62698,0.43178934,1.0894911,-1.3481935,-0.35016745,2.4180226,707015.75,-1.9339124,1.0976825,-0.5640982,21539.742,-5.543399,287.1395,380.78928,547003.25
-106.92465,111.37412,43.769577,119.87313,0.59388715,1.8048282,-0.7660231,0.6705563,-15.363619,327973.9,-5.219687,3.0000277,-2.2881362,-152562.75,-20.58142,266.2716,379.79102,224967.75
8.317628,28.529936,9.4906435,36.997585,0.20629498,0.5786078,-3.4085526,-4.3832583,-23.886377,3506461.8,-1.7081041,1.1259341,0.7903835,-41649.39,-10.734014,318.42065,379.1269,1314818.2
-12.913646,5.724281,-7.156632,-39.53022,-0.09704278,-0.6274276,-4.2666206,-0.050665878,-24.729116,-799900.3,-3.7190392,1.526904,0.27697197,-304.88333,2.312559,281.6468,380.33807,604519.6
98.21784,70.83549,48.273052,129.87042,0.69052166,3.1525204,-2.9925652,0.7677635,-21.357056,-1657860.4,-1.4730909,-2.4326932,1.7063154,75201.64,7.9733467,295.5503,380.56067,1225427.1
79.536766,24.20947,68.58314,193.63492,0.98094946,4.362617,-3.3601696,0.30361292,4.080724,1191201.8,-1.8550082,-3.9455497,-0.8057416,41338.418,17.881119,300.34854,379.47275,1335978.9
-81.339935,-33.760857,51.2391,138.03459,0.68020225,2.5886898,-0.6950433,-1.9060655,-9.589595,-719174.3,-0.11099184,0.56934434,-0.96191466,-6835.1445,-4.844012,307.31934,381.19583,1256658.4
-12.922205,-1.7910343,-6.2593427,-25.579254,-0.065179385,-0.60771227,-3.6514409,1.0254638,-25.293636,-732181.94,-2.6462667,1.0044402,-2.5242186,-17062.793,-3.8635004,298.24124,380.12512,1065084.8
107.044945,177.36081,103.89001,267.85315,1.3442525,7.996356,-4.688266,-1.2163864,5.284379,-989872.4,-4.7586513,-4.007313,-0.7416121,43779.68,21.700739,286.25616,379.75406,739812.6
64.76965,-42.223347,65.182846,163.57631,0.8938954,4.610031,0.107039765,1.160515,-8.601812,-498370.72,1.1610034,-1.6424843,0.38864455,25751.246,1.1339418,299.02747,378.58423,1169739.1
-7.9892244,-13.653508,25.98435,73.043495,0.4622033,1.0023757,-8.044565,3.1844087,30.895042,2059276.5,0.057907715,-0.755646,-1.2947923,-62606.117,9.559374,305.3367,379.99573,2004982.9
-135.71674,68.91818,61.55109,174.58028,0.8847686,3.377001,-0.72024727,-1.6591498,-6.266964,1201418.0,-0.7171821,2.3219903,0.2111336,-42356.152,-17.210089,292.27988,379.41174,742291.5
18.671942,-7.88934,9.025775,39.03278,0.22847307,0.35700753,0.8774772,0.9513921,-2.7338984,4334517.5,1.6273946,0.08287153,0.18197298,28125.89,-3.4934344,313.9176,378.73804,1672684.1
37.284733,-3.565435,23.48459,57.08131,0.3168137,1.351751,-3.548164,-2.7281585,-8.1394615,864900.2,-1.2348875,-1.3419479,0.6054846,-33016.39,-0.05057535,320.25827,380.01883,1406256.9
-56.121704,-150.54173,62.286488,156.90839,0.88797534,3.6819496,0.26033223,-4.0117593,-4.794799,2469148.0,3.8178482,0.9607866,1.4636606,35950.098,-2.373956,328.7378,380.17178,891308.1
-117.73513,215.75783,69.79167,194.73427,1.0522612,3.1895697,-4.0658712,-1.151584,-13.392774,2423393.8,-5.5952034,2.332216,-0.8546713,42287.605,-9.2255125,271.1166,379.7775,426649.38
-97.05033,-20.202547,45.364357,150.40315,0.7638911,2.750771,-0.04179725,0.70079404,-3.8658867,3177642.2,0.41824037,2.4054875,0.104123116,-3232.6943,-10.798321,306.07065,381.12723,977785.8
-24.295723,-87.97877,56.99149,151.14055,0.74962854,3.8498545,-2.1295352,1.0315393,-16.355423,-1509442.5,3.3857045,0.999007,-0.011314365,60783.992,-10.239129,310.18353,379.04703,774690.56
-117.27409,12.262198,54.97167,138.58884,0.7102865,3.0366273,-0.21444517,-1.7761524,-4.3299446,-207421.05,-0.9008216,2.506739,-0.24169822,1790.9458,-12.048079,291.77774,379.80594,640015.6
-17.61667,-149.89407,65.93612,170.79713,0.94676,4.232325,-1.4487578,-0.31876388,-9.191945,1702313.8,3.9347894,0.15291162,0.4395977,115273.87,2.4012208,309.46927,379.20914,1756446.0
-18.991186,30.49769,69.87835,177.69688,0.87482613,3.9875655,-0.6094697,-0.8339592,-12.937673,-1317948.5,-1.1457685,0.16429946,-0.65304387,55347.836,8.459972,303.9151,381.7727,591947.75
21.702784,58.44229,32.697407,81.96877,0.49418226,1.7989728,-4.499042,1.5943544,-18.308706,516437.62,-0.409752,1.2440016,-0.07928039,82472.32,12.067515,278.83017,383.04355,252243.0
198.42873,93.352066,74.691925,189.49147,0.9633032,5.1256504,-6.725184,-1.2459618,-20.122301,-2257526.2,-1.7736509,-6.406881,-0.6266111,64167.582,37.135323,294.2786,380.09186,908941.9
6.679805,-0.33742198,4.573507,9.993384,0.115641706,0.6353831,0.63377535,-1.3835257,-4.058179,-903278.06,1.076909,0.031735156,0.63634795,-8963.718,3.2620301,284.46585,380.91455,1644944.4
22.977293,70.60066,25.077145,62.139866,0.39406276,1.2541317,-2.6133392,-2.4195027,-32.5589,-182425.72,-3.2784765,-2.1280138,-0.77062225,20461.32,10.787538,290.87436,381.36804,946701.3
17.003382,16.773634,3.1246846,30.968906,0.18367654,0.18329814,-3.8746817,-1.2696143,-2.8737037,3975263.5,1.8343723,-2.235415,0.9201143,-23575.59,15.985474,308.57553,380.3963,1359266.1
49.758846,-93.93562,55.739006,145.02211,0.74197805,3.8648763,-0.7026752,-2.1463168,-9.0578985,719062.7,2.5156848,-1.5710263,0.20031974,-34871.43,-1.3223944,309.74194,379.075,962794.2
-7.930427,-9.124614,11.806888,35.561424,0.20480657,0.25325122,-1.2185818,-1.080332,0.06341325,3433993.0,-2.8701108,-1.1623813,-1.3788118,-49352.207,15.025982,316.5654,379.4809,1453140.5
-25.47957,-44.843624,32.617958,99.82109,0.5846448,1.738235,0.24435061,-6.03477,-16.071972,3532971.5,-0.26614028,1.6861072,1.5292294,7018.1343,-4.3353477,324.87082,379.58942,1524224.1
-122.72153,-66.90784,51.887135,124.46263,0.6827221,2.176049,-0.74073863,1.9103594,-5.2597494,1392307.8,-0.80748,1.4364237,-1.716357,9546.524,2.822107,293.3115,381.70065,1262814.1
-80.46837,-210.10278,74.54638,200.00468,1.0362575,4.2834077,-2.5238287,-3.1985023,-5.2725897,-486295.62,5.1579666,2.304699,0.71463233,-11184.517,0.76318496,332.96112,380.88702,1238226.6
-5.9701533,24.387949,2.4502327,-0.16210231,0.048765324,0.028520606,-6.907167,-3.1901762,-18.513607,1484799.6,-2.7010605,-3.0731115,-1.6321976,-100136.32,22.91035,292.09158,379.12787,1954393.2
18.429785,-96.53997,52.390022,129.0752,0.696127,3.0450034,-3.9402134,-2.6021326,-7.3880997,2725761.5,2.4411638,-0.21051285,-1.3572735,86612.64,5.690551,313.6799,380.94336,1157061.9
118.60818,-21.735704,38.322144,110.41172,0.52983963,2.5431125,-5.132794,-3.5558486,-7.694429,1584787.4,3.1744864,-3.2187397,0.34659615,39403.73,18.9363,320.01483,380.14514,1246892.1
-1.9798737,-104.285286,57.41246,153.4879,0.79775715,3.5245879,2.5406978,-0.21451823,-6.8712125,2545855.2,2.6988735,0.35151184,1.076972,-16658.969,-10.899716,322.2861,379.93945,718476.56
-12.515071,-44.25953,7.7248416,27.589897,0.1928224,0.5810015,-0.15627296,-2.9267623,-15.96576,869939.44,1.4513501,1.4263235,0.5425233,-23501.717,-16.834671,305.16272,381.28354,1527885.6
198.36519,-24.679585,100.657104,232.99985,1.2008795,7.4899354,-2.3840156,-0.0025761519,-2.3589778,-1007255.2,0.40193582,-5.1148868,-0.25387192,44782.855,24.422085,317.70703,379.22455,113509.875
71.34523,-129.06688,60.832417,173.00436,0.8456999,4.3923225,1.2056353,-2.8547113,-7.822297,1158690.6,3.6421046,-1.6123605,-1.2223461,68553.28,4.197056,314.34323,379.6349,1260251.8
